ownerName,name,_id,Address,city,state,capacity,Registration Date,Registration Valid Upto,phoneNo,Status,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, KINWAT",6589956,"Mahur Rd., Co. Op. Cotton Ginning & Pressing Soc. Ltd. Kinwat, Tq. Kinwat, KINWAT",Nanded,MAHARASHTRA,3150,01-Jun-22,31-May-27,7972962388,Active,
Maharashtra State Warehousing Corporation,MSWC Vairag,6588875,"Market Yard Vairag,",Solapur,MAHARASHTRA,2000,01-Jun-22,31-May-27,7972587050,Active,
Maharashtra State Warehousing Corporation,MIRAJ,6587521,"Miraj Pandharpur road, Tasgaon Phata, Miraj, Gat No. 2233A, Malgaon,Miraj",Sangli,MAHARASHTRA,14400,30-May-22,29-May-27,9404716517,Active,
Maharashtra State Warehousing Corporation,Takari,6586713,"Marketyard, Takari, Tal- Walwa,,",Sangli,MAHARASHTRA,2980,30-May-22,29-May-27,9096978970,Active,
Maharashtra State Warehousing Corporation,DHULE MIDC,6591663,"Near p-7 Midc Avdhan Dhule, Near Balaji weighbridge",Dhule,MAHARASHTRA,22650,07-Jun-22,06-Jun-27,8668773871,Active,
Maharashtra State Warehousing Corporation,Kannad,6592026,"MSWC, APMC Area, Kannad, Kannad, Aurangabad-431103",Aurangabad,MAHARASHTRA,3000,07-Jun-22,06-Jun-27,9850078978,Active,
Maharashtra State Warehousing Corporation,RAVER,6582308,"Near by ITI,Utkheda Road,Pal Phata, RAVER",Jalgaon,MAHARASHTRA,5160,28-May-22,27-May-27,8408882562,Active,
Maharashtra State Warehousing Corporation,SINNAR WAREHOUSE,6613715,"Plot No. E9,, SINNAR MIDC AREA, SINNAR",Nashik,MAHARASHTRA,7140,10-Aug-22,09-Aug-27,8408882562,Active,
Maharashtra State Warehousing Corporation,DHARANGAON,6599047,"A.P.M.C MARKET, DHARANGAON",Jalgaon,MAHARASHTRA,6600,01-Jul-22,30-Jun-27,8408882562,Active,
Maharashtra State Warehousing Corporation,CHOPDA,6580500,"APMC MARKET YARD, CHOPADA",Jalgaon,MAHARASHTRA,4050,26-May-22,25-May-27,8408882562,Active,
Maharashtra State Warehousing Corporation,WANI NASHIK,6599674,"MULANE ROAD,WANI (N), WANI",Nashik,MAHARASHTRA,2000,05-Jul-22,04-Jul-27,8408882562,Active,
Maharashtra State Warehousing Corporation,PARBHANI MIDC,6579155,"21-22 MIDC PARBHANI, 21-22 MIDC",Parbhani,MAHARASHTRA,27956,26-May-22,25-May-27,9158001340,Active,
Maharashtra State Warehousing Corporation,MSWC Gultekdi B,6579510,"583/B Marketyard ,Gultekadi Pune 411 037,",Pune,MAHARASHTRA,5100,26-May-22,25-May-27,8329791797,Active,
Maharashtra State Warehousing Corporation,DHAMANGAON,6579429,"Near by DSMS Colloge, Dhamangaon, Dhamangaon",Amravati,MAHARASHTRA,12043,26-May-22,25-May-27,8805060702,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, HATTA",6578520,"APMC MARKET YARD,, HATTA",Hingoli,MAHARASHTRA,6550,24-May-22,23-May-27,9860155071,Active,
Maharashtra State Warehousing Corporation,DHANAWADEWADI,6577621,"Survey No. 12 & 14 A, Dhanawadewadi,, Karbude",Ratnagiri,MAHARASHTRA,18103,24-May-22,23-May-27,8551064333,Active,
Maharashtra State Warehousing Corporation,MSWC Paithan-A,6757173,"MSWC, APMC Area, Nath Road, Narala Godown Paithan",Aurangabad,MAHARASHTRA,1580,14-Jul-23,13-Jul-28,9307712395,Active,
Maharashtra State Warehousing Corporation,BASMATNAGER,6578793,"APMC, MARKET YARD, BASMATH",Hingoli,MAHARASHTRA,7200,24-May-22,23-May-27,9420035022,Active,
Maharashtra State Warehousing Corporation,Partur,6576995,"MSWC, APMC Area, Pardgaon Road, Near Railway Track, Tal.Partur, Jalna 431501",Jalna,MAHARASHTRA,5840,23-May-22,22-May-27,7588089986,Active,
Maharashtra State Warehousing Corporation,KHADKI AHMADNAGAR,6576904,"""At Khadki, Post-Khandala,, Tal-Nagar, Dist-Ahmednagar """,Ahmadnagar,MAHARASHTRA,8944,23-May-22,22-May-27,9822148684,Active,
Maharashtra State Warehousing Corporation,MSWC JALNA BHOKARDAN ROAD,6767610,"BHOKARDAN ROAD JALNA,",Aurangabad,MAHARASHTRA,29667,31-Jul-23,30-Jul-28,8408882579,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Arjuni Morgaon",6582845,"Agricultur Produce Market Committee, Arjuni Morgaon",Gondiya,MAHARASHTRA,7200,29-May-22,28-May-27,9561075666,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Washim",6575823,"APMN, Market Yard, Near Railway Station, Washim,",Washim,MAHARASHTRA,10950,19-May-22,18-May-27,9765439919,Active,
Maharashtra State Warehousing Corporation,KUDAL,6588966,"Kudal, Kudal",Sindhudurg,MAHARASHTRA,9821,01-Jun-22,31-May-27,9403322939,Active,
Maharashtra State Warehousing Corporation,Koregaon,6698948,"Marketyard Koregaon,dist.Satara, APMC Koregaon",Satara,MAHARASHTRA,2160,24-Mar-23,23-Mar-28,9145272701,Active,
Maharashtra State Warehousing Corporation,NAGAPUR AHMEDNAGAR,6575914,"P 153 NAGAPUR MIDC, AHMEDNAGAR, NEAR JIMKHANA",Ahmadnagar,MAHARASHTRA,22854,19-May-22,18-May-27,9822858423,Active,
Maharashtra State Warehousing Corporation,Satara D-5,6586531,"Plot NO.D5, Old MIDC Satara",Satara,MAHARASHTRA,8800,30-May-22,29-May-27,9423539262,Active,
Maharashtra State Warehousing Corporation,Parli Tokwadi,6575013,"PARLI BEED ROAD, TOKWADI",Bid,MAHARASHTRA,15378,15-May-22,14-May-27,9763816355,Active,
Maharashtra State Warehousing Corporation,Ashti,6584643,"MSWC, APMC Area ( Dhotar Joda), Taluka Partur, Partur, Jalna - 431507",Jalna,MAHARASHTRA,2000,30-May-22,29-May-27,7588957049,Active,
Maharashtra State Warehousing Corporation,JALGAON B-6,6584916,"AJANTHA ROAD, MIDC B-6 JALGAON",Jalgaon,MAHARASHTRA,16600,30-May-22,29-May-27,8408882562,Active,
Maharashtra State Warehousing Corporation,MUSALGAON (NASHIK),6614887,"Plot No. 142/2,, MUSALGAON MIDC MUSALGAON",Nashik,MAHARASHTRA,3000,13-Aug-22,12-Aug-27,8408882562,Active,
Maharashtra State Warehousing Corporation,CHINCHOLI (MIDC),6584825,"B/10 CHINCHOLI MIDC,",Solapur,MAHARASHTRA,21905,30-May-22,29-May-27,9158008754,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, WAI BAZAR",6584734,"Mahur Kinwat Rd., APMC Market Yard Wai Bazar,, WAI BAZAR",Nanded,MAHARASHTRA,3150,30-May-22,29-May-27,9960440933,Active,
